# InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+16 0.000000000000000 0.000000 0.146739 14306.686734134049402 0.135995 14306.686734134051221 0.000000 14306.686734134043945 0.000000 14306.686734134142171 0.010744 14306.686734134051221 0.0000000000
   1 3.75000E+16 0.000000000000000 0.000000 0.148650 14492.998607147883376 0.137766 14492.998607147885195 0.000000 14492.998607147897928 0.000000 14492.998607147668736 0.010884 14492.998607147881557 0.0000000000
   2 6.25000E+16 0.000000000000000 0.000000 0.150484 14671.886948508448768 0.139467 14671.886948508452406 0.000000 14671.886948508423302 0.000000 14671.886948508283240 0.011018 14671.886948508450587 0.0000000000
   3 8.75000E+16 0.000000000000000 0.000000 0.152243 14843.355368555192399 0.141097 14843.355368555190580 0.000000 14843.355368555246969 0.000000 14843.355368555106907 0.011147 14843.355368555188761 0.0000000000
   4 1.12500E+17 0.000000000000000 0.000000 0.153928 15007.579608218087742 0.142658 15007.579608218082285 0.000000 15007.579608218098656 0.000000 15007.579608218260546 0.011270 15007.579608218085923 0.0000000000
   5 1.37500E+17 0.000000000000000 0.000000 0.155540 15164.795430212694555 0.144152 15164.795430212696374 0.000000 15164.795430212709107 0.000000 15164.795430213162035 0.011388 15164.795430212696374 0.0000000000
   6 1.62500E+17 0.000000000000000 0.000000 0.157082 15315.174691174450345 0.145582 15315.174691174448526 0.000000 15315.174691174530381 0.000000 15315.174691174537656 0.011501 15315.174691174446707 0.0000000000
   7 1.87500E+17 0.000000000000000 0.000000 0.158558 15459.030723987998499 0.146949 15459.030723988009413 0.000000 15459.030723988020327 0.000000 15459.030723987960300 0.011609 15459.030723988009413 0.0000000000
   8 2.12500E+17 0.000000000000000 0.000000 0.159970 15596.661492907125648 0.148257 15596.661492907129286 0.000000 15596.661492907212960 0.000000 15596.661492907431239 0.011712 15596.661492907127467 0.0000000000
   9 2.37500E+17 0.000000000000000 0.000000 0.161321 15728.410504629189745 0.149510 15728.410504629186107 0.000000 15728.410504629167917 0.000000 15728.410504629257048 0.011811 15728.410504629184288 0.0000000000
  10 2.62500E+17 0.000000000000000 0.000000 0.162614 15854.519034220676986 0.150708 15854.519034220687900 0.000000 15854.519034220729736 0.000000 15854.519034220842514 0.011906 15854.519034220686081 0.0000000000
  11 2.87500E+17 0.000000000000000 0.000000 0.163854 15975.363548824954705 0.151857 15975.363548824951067 0.000000 15975.363548824965619 0.000000 15975.363548824994723 0.011997 15975.363548824952886 0.0000000000
  12 3.12500E+17 0.000000000000000 0.000000 0.165042 16091.174055179910283 0.152958 16091.174055179908464 0.000000 16091.174055179924835 0.000000 16091.174055179839343 0.012084 16091.174055179906645 0.0000000000
  13 3.37500E+17 0.000000000000000 0.000000 0.166181 16202.303067286329679 0.154014 16202.303067286336955 0.000000 16202.303067286322403 0.000000 16202.303067286648002 0.012167 16202.303067286331498 0.0000000000
  14 3.62500E+17 0.000000000000000 0.000000 0.167275 16308.955680955934440 0.155028 16308.955680955939897 0.000000 16308.955680955927164 0.000000 16308.955680956320066 0.012247 16308.955680955939897 0.0000000000
  15 3.87500E+17 0.000000000000000 0.000000 0.168327 16411.450359311904322 0.156002 16411.450359311904322 0.000000 16411.450359311904322 0.000000 16411.450359312042565 0.012324 16411.450359311904322 0.0000000000
  16 4.12500E+17 0.000000000000000 0.000000 0.169337 16509.962446113258920 0.156939 16509.962446113262558 0.000000 16509.962446113215265 0.000000 16509.962446113870101 0.012398 16509.962446113262558 0.0000000000
  17 4.37500E+17 0.000000000000000 0.000000 0.170309 16604.773756290931487 0.157840 16604.773756290938763 0.000000 16604.773756290913298 0.000000 16604.773756291095197 0.012469 16604.773756290938763 0.0000000000
  18 4.62500E+17 0.000000000000000 0.000000 0.171246 16696.058704931147076 0.158708 16696.058704931147076 0.000000 16696.058704931059765 0.000000 16696.058704931147076 0.012538 16696.058704931143438 0.0000000000
  19 4.87500E+17 0.000000000000000 0.000000 0.172147 16783.979423799024516 0.159544 16783.979423799035430 0.000000 16783.979423799068172 0.000000 16783.979423799493816 0.012604 16783.979423799031792 0.0000000000
  20 5.12500E+17 0.000000000000000 0.000000 0.173017 16868.767286583726673 0.160349 16868.767286583730311 0.000000 16868.767286583733949 0.000000 16868.767286583744863 0.012668 16868.767286583723035 0.0000000000
  21 5.37500E+17 0.000000000000000 0.000000 0.173856 16950.556302569872059 0.161127 16950.556302569868421 0.000000 16950.556302569944819 0.000000 16950.556302569628315 0.012729 16950.556302569872059 0.0000000000
  22 5.62500E+17 0.000000000000000 0.000000 0.174665 17029.471597399860912 0.161877 17029.471597399853636 0.000000 17029.471597399817256 0.000000 17029.471597399664461 0.012788 17029.471597399857274 0.0000000000
  23 5.87500E+17 0.000000000000000 0.000000 0.175447 17105.702888057083328 0.162602 17105.702888057090604 0.000000 17105.702888057083328 0.000000 17105.702888057472592 0.012846 17105.702888057086966 0.0000000000
  24 6.12500E+17 0.000000000000000 0.000000 0.176203 17179.353481345700857 0.163302 17179.353481345700857 0.000000 17179.353481345689943 0.000000 17179.353481345973705 0.012901 17179.353481345697219 0.0000000000
  25 6.37500E+17 0.000000000000000 0.000000 0.176933 17250.543237281272013 0.163979 17250.543237281268375 0.000000 17250.543237281250185 0.000000 17250.543237281010079 0.012954 17250.543237281264737 0.0000000000
  26 6.62500E+17 0.000000000000000 0.000000 0.177639 17319.383770405980613 0.164633 17319.383770405991527 0.000000 17319.383770405944233 0.000000 17319.383770406573603 0.013006 17319.383770405991527 0.0000000000
  27 6.87500E+17 0.000000000000000 0.000000 0.178322 17385.979239121057617 0.165266 17385.979239121061255 0.000000 17385.979239121003047 0.000000 17385.979239121435967 0.013056 17385.979239121068531 0.0000000000
  28 7.12500E+17 0.000000000000000 0.000000 0.178983 17450.427056228436413 0.165879 17450.427056228432775 0.000000 17450.427056228400033 0.000000 17450.427056228290894 0.013104 17450.427056228432775 0.0000000000
  29 7.37500E+17 0.000000000000000 0.000000 0.179623 17512.818524207348673 0.166472 17512.818524207348673 0.000000 17512.818524207323208 0.000000 17512.818524207050359 0.013151 17512.818524207345035 0.0000000000
  30 7.62500E+17 0.000000000000000 0.000000 0.180243 17573.239400434416893 0.167046 17573.239400434420531 0.000000 17573.239400434416893 0.000000 17573.239400434398704 0.013197 17573.239400434413255 0.0000000000
  31 7.87500E+17 0.000000000000000 0.000000 0.180843 17631.770398401975399 0.167602 17631.770398401979037 0.000000 17631.770398401993589 0.000000 17631.770398402102728 0.013241 17631.770398401982675 0.0000000000
  32 8.12500E+17 0.000000000000000 0.000000 0.181425 17688.487631302188674 0.168142 17688.487631302185036 0.000000 17688.487631302148657 0.000000 17688.487631302232330 0.013283 17688.487631302181398 0.0000000000
  33 8.37500E+17 0.000000000000000 0.000000 0.181989 17743.463004316552542 0.168664 17743.463004316552542 0.000000 17743.463004316610750 0.000000 17743.463004316698061 0.013324 17743.463004316552542 0.0000000000
  34 8.62500E+17 0.000000000000000 0.000000 0.182535 17796.764561596355634 0.169171 17796.764561596351996 0.000000 17796.764561596359272 0.000000 17796.764561596799467 0.013364 17796.764561596351996 0.0000000000
  35 8.87500E+17 0.000000000000000 0.000000 0.183065 17848.456793531542644 0.169662 17848.456793531539006 0.000000 17848.456793531579024 0.000000 17848.456793531731819 0.013403 17848.456793531542644 0.0000000000
  36 9.12500E+17 0.000000000000000 0.000000 0.183580 17898.615916426369949 0.170139 17898.615916426369949 0.000000 17898.615916426391777 0.000000 17898.615916426468175 0.013441 17898.615916426369949 0.0000000000
  37 9.37500E+17 0.000000000000000 0.000000 0.184079 17947.269429178599239 0.170601 17947.269429178610153 0.000000 17947.269429178642895 0.000000 17947.269429178730206 0.013478 17947.269429178606515 0.0000000000
  38 9.62500E+17 0.000000000000000 0.000000 0.184563 17994.488358400012658 0.171050 17994.488358400009020 0.000000 17994.488358400034485 0.000000 17994.488358400401921 0.013513 17994.488358400009020 0.0000000000
  39 9.87500E+17 0.000000000000000 0.000000 0.185034 18040.338815183818951 0.171486 18040.338815183811676 0.000000 18040.338815183793486 0.000000 18040.338815183851693 0.013547 18040.338815183808038 0.0000000000
  40 1.01250E+18 0.000000000000000 0.000000 0.185490 18084.843657709890977 0.171909 18084.843657709890977 0.000000 18084.843657709872787 0.000000 18084.843657710178377 0.013581 18084.843657709890977 0.0000000000
  41 1.03750E+18 0.000000000000000 0.000000 0.185933 18128.064885156378296 0.172320 18128.064885156385571 0.000000 18128.064885156432865 0.000000 18128.064885156261880 0.013613 18128.064885156381933 0.0000000000
  42 1.06250E+18 0.000000000000000 0.000000 0.186364 18170.060151658228278 0.172719 18170.060151658228278 0.000000 18170.060151658253744 0.000000 18170.060151658577524 0.013645 18170.060151658228278 0.0000000000
  43 1.08750E+18 0.000000000000000 0.000000 0.186782 18210.848971638453804 0.173107 18210.848971638450166 0.000000 18210.848971638464718 0.000000 18210.848971638337389 0.013675 18210.848971638457442 0.0000000000
  44 1.11250E+18 0.000000000000000 0.000000 0.187189 18250.496609796664416 0.173484 18250.496609796675330 0.000000 18250.496609796646226 0.000000 18250.496609796518896 0.013705 18250.496609796675330 0.0000000000
  45 1.13750E+18 0.000000000000000 0.000000 0.187584 18289.020696125648101 0.173850 18289.020696125655377 0.000000 18289.020696125640825 0.000000 18289.020696126081020 0.013734 18289.020696125655377 0.0000000000
  46 1.16250E+18 0.000000000000000 0.000000 0.187968 18326.481199164605641 0.174206 18326.481199164594727 0.000000 18326.481199164634745 0.000000 18326.481199164856662 0.013762 18326.481199164591089 0.0000000000
  47 1.18750E+18 0.000000000000000 0.000000 0.188342 18362.894205277149013 0.174552 18362.894205277145375 0.000000 18362.894205277145375 0.000000 18362.894205277349101 0.013790 18362.894205277145375 0.0000000000
  48 1.21250E+18 0.000000000000000 0.000000 0.188705 18398.314815734243894 0.174889 18398.314815734247532 0.000000 18398.314815734203876 0.000000 18398.314815733720025 0.013816 18398.314815734243894 0.0000000000
  49 1.23750E+18 0.000000000000000 0.000000 0.189059 18432.766781147060101 0.175216 18432.766781147063739 0.000000 18432.766781147041911 0.000000 18432.766781147034635 0.013842 18432.766781147060101 0.0000000000
