# ﻿InverseMatrix00,   InverseMatrix01,   InverseMatrix02,   InverseMatrix03,   InverseMatrix04





# One-dimensional model
# Timestep=  12000
# j, (j+.5)*DNHI,     y1H[j],     y1He[j],     EH[j],     Te[j],     EHII[j],     THII[j],     EHI[j],     THI[j],     EHeI[j],     THeI[j],     EHeII[j],     THeII[j],     dEH[j]
   0 1.25000E+016 0.000000000000000 0.000000 0.146744 14307.243813399236387 0.136000 14307.243813399232749 0.000000 14307.243813399214559 0.000000 14307.243813398907150 0.010744 14307.243813399229111 0.0000000000
   1 3.75000E+016 0.000000000000000 0.000000 0.148655 14493.504347700365543 0.137771 14493.504347700367362 0.000000 14493.504347700401922 0.000000 14493.504347700190920 0.010884 14493.504347700369181 0.0000000000
   2 6.25000E+016 0.000000000000000 0.000000 0.150488 14672.267890915029056 0.139470 14672.267890915029056 0.000000 14672.267890914987220 0.000000 14672.267890914919917 0.011018 14672.267890915027237 0.0000000000
   3 8.75000E+016 0.000000000000000 0.000000 0.152246 14843.641309358072249 0.141099 14843.641309358068611 0.000000 14843.641309358088620 0.000000 14843.641309358081344 0.011147 14843.641309358072249 0.0000000000
   4 1.12500E+017 0.000000000000000 0.000000 0.153929 15007.768665154138944 0.142659 15007.768665154140763 0.000000 15007.768665154169867 0.000000 15007.768665154340852 0.011270 15007.768665154140763 0.0000000000
   5 1.37500E+017 0.000000000000000 0.000000 0.155541 15164.887446398230168 0.144153 15164.887446398230168 0.000000 15164.887446398221073 0.000000 15164.887446397940948 0.011388 15164.887446398228349 0.0000000000
   6 1.62500E+017 0.000000000000000 0.000000 0.157082 15315.171120130327836 0.145581 15315.171120130329655 0.000000 15315.171120130353302 0.000000 15315.171120130464260 0.011501 15315.171120130327836 0.0000000000
   7 1.87500E+017 0.000000000000000 0.000000 0.158557 15458.934144087341338 0.146948 15458.934144087337700 0.000000 15458.934144087364984 0.000000 15458.934144087132154 0.011609 15458.934144087341338 0.0000000000
   8 2.12500E+017 0.000000000000000 0.000000 0.159968 15596.510770341054013 0.148256 15596.510770341052194 0.000000 15596.510770341050375 0.000000 15596.510770341024909 0.011712 15596.510770341048556 0.0000000000
   9 2.37500E+017 0.000000000000000 0.000000 0.161318 15728.138762564487479 0.149507 15728.138762564489298 0.000000 15728.138762564507488 0.000000 15728.138762564683930 0.011811 15728.138762564491117 0.0000000000
